,Npy1r,Drd1,Sema3c,Drd2,Htr2c,Htr1b,Vdr,Gpx3,Dlk1,Vgf,Ppp1r1b,Nefm,Cartpt,Prkcd,Tac1,Penk,Gal,Sst,Pdyn,Nts,Tac2,Ebf1,Crym,Gad1,Cyp26b1,Crh,Oprk1,Vipr2,Scn4b,y,x
m264M_15945,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1109.9539325842695,688.945393258427
m264M_15950,3.0,0.0,0.0,3.0,1.0,1.0,2.0,6.0,0.0,5.0,27.0,1.0,0.0,0.0,2.0,60.0,0.0,4.0,3.0,0.0,1.0,3.0,15.0,12.0,6.0,0.0,0.0,0.0,0.0,371.54198925986464,983.6984543544246
m264M_15957,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,15.0,5.0,9.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,4.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,455.26176904902536,422.01984051978735
m264M_15960,3.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,1.0,4.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,8.0,1.0,1.0,3.0,0.0,4.0,2.0,2.0,841.2798776418242,834.0923136818687
m264M_15961,0.0,0.0,0.0,2.0,10.0,2.0,0.0,4.0,2.0,12.0,4.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,6.0,2.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,495.6979856115108,552.7925899280575
m264M_15963,1.0,0.0,0.0,38.0,18.0,7.0,2.0,5.0,0.0,7.0,58.0,7.0,0.0,0.0,0.0,64.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,4.0,178.08376646706589,877.9467265469062
m264M_15968,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.1901239349341,341.54679318357864
m264M_15970,2.0,1.0,2.0,12.0,4.0,1.0,1.0,3.0,1.0,3.0,6.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,803.9606200177147,665.8264092116917
m264M_15974,0.0,0.0,0.0,4.0,1.0,6.0,1.0,11.0,0.0,32.0,5.0,18.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,1.0,7.0,27.0,4.0,23.0,0.0,0.0,0.0,0.0,1034.2787425642905,956.9592129587262
m264M_15979,0.0,3.0,15.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,657.2205647382922,358.55056932966033
m264M_15988,0.0,0.0,2.0,21.0,9.0,3.0,2.0,9.0,80.0,10.0,1.0,3.0,3.0,0.0,1.0,48.0,0.0,4.0,2.0,1.0,3.0,3.0,1.0,49.0,29.0,0.0,4.0,0.0,0.0,840.4721660360051,504.24244238046094
m264M_15992,0.0,0.0,68.0,4.0,2.0,9.0,1.0,7.0,2.0,3.0,2.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,164.0,1.0,0.0,0.0,0.0,0.0,112.286570941835,390.9315242962603
m264M_16016,0.0,0.0,1.0,14.0,0.0,2.0,2.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,771.7071120783461,1049.0794036996735
m264M_16018,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,95.0,1.0,12.0,0.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,2.0,1.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,1052.218171939917,696.2667465643976
m264M_16028,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,328.92317009794124,502.9413631820908
m264M_16033,1.0,0.0,0.0,11.0,0.0,5.0,3.0,6.0,63.0,49.0,14.0,40.0,0.0,1.0,1.0,58.0,0.0,1.0,0.0,1.0,2.0,2.0,25.0,50.0,8.0,0.0,0.0,0.0,0.0,332.5327013072614,567.7276238602659
m264M_16034,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,277.5190050013161,443.55333508818114
m264M_16035,2.0,5.0,1.0,6.0,2.0,3.0,2.0,3.0,0.0,51.0,21.0,97.0,0.0,0.0,0.0,23.0,1.0,3.0,3.0,0.0,2.0,6.0,7.0,109.0,3.0,1.0,1.0,0.0,2.0,98.51802565860348,812.0649260601314
m264M_16040,2.0,0.0,1.0,6.0,4.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,666.5616389513109,896.0993647940074
m264M_16047,4.0,0.0,1.0,25.0,5.0,5.0,2.0,3.0,2.0,114.0,137.0,0.0,0.0,4.0,1.0,310.0,1.0,5.0,1.0,0.0,1.0,11.0,36.0,73.0,94.0,2.0,0.0,0.0,0.0,667.1014701752242,889.7490811404848
m264M_16057,1.0,0.0,0.0,4.0,1.0,1.0,1.0,10.0,1.0,77.0,20.0,4.0,0.0,8.0,1.0,7.0,0.0,30.0,22.0,29.0,72.0,7.0,27.0,40.0,1.0,1.0,0.0,4.0,0.0,399.7927887186968,572.5266472161437
m264M_16063,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,707.2030136986301,552.3039726027397
m264M_16064,4.0,2.0,0.0,15.0,14.0,22.0,1.0,12.0,1.0,81.0,105.0,1.0,1.0,3.0,2.0,48.0,1.0,237.0,138.0,3.0,1.0,18.0,91.0,55.0,6.0,2.0,0.0,0.0,1.0,730.1663654024834,793.5797297069009
m264M_16067,2.0,0.0,1.0,20.0,4.0,7.0,8.0,10.0,0.0,2.0,10.0,13.0,0.0,0.0,0.0,69.0,0.0,3.0,2.0,1.0,0.0,5.0,4.0,22.0,13.0,0.0,0.0,0.0,2.0,262.5821392066196,737.8019372110002
m264M_16068,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,253.5341807747489,302.21128837876614
m264M_16070,3.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,0.0,0.0,3.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,1053.4311462319083,671.0033239061721
m264M_16081,3.0,0.0,0.0,34.0,27.0,2.0,0.0,1.0,16.0,13.0,2.0,7.0,0.0,0.0,0.0,2.0,3.0,94.0,5.0,0.0,2.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1071.1225890529977,270.1758073724712
m264M_16102,2.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,862.1319170049617,813.9445827695082
m264M_16117,0.0,0.0,0.0,30.0,14.0,5.0,3.0,4.0,0.0,20.0,27.0,7.0,0.0,1.0,0.0,66.0,0.0,1.0,0.0,1.0,1.0,5.0,10.0,16.0,2.0,1.0,1.0,0.0,1.0,107.29476170741816,991.8172855366764
m264M_16122,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,127.02095434260217,558.9484792310334
m264M_16130,5.0,2.0,2.0,18.0,20.0,13.0,7.0,14.0,2.0,14.0,4.0,83.0,1.0,0.0,0.0,55.0,0.0,5.0,4.0,1.0,53.0,34.0,1.0,81.0,0.0,2.0,0.0,0.0,0.0,312.14586101257663,544.6727829732345
m264M_16132,1.0,1.0,4.0,16.0,3.0,4.0,1.0,6.0,0.0,11.0,19.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,2.0,2.0,2.0,2.0,41.0,1.0,1.0,0.0,0.0,2.0,801.4287129840545,420.6879878511769
m264M_16138,3.0,1.0,2.0,33.0,42.0,22.0,3.0,5.0,5.0,152.0,89.0,10.0,7.0,10.0,0.0,197.0,1.0,86.0,91.0,13.0,61.0,23.0,42.0,151.0,118.0,5.0,0.0,34.0,0.0,532.8379529431054,723.4031349401541
m264M_16143,3.0,1.0,1.0,22.0,2.0,6.0,8.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,381.2894815825375,717.3202137335153
m264M_16144,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,24.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,20.0,0.0,0.0,3.0,0.0,0.0,1074.3464717918737,674.4619234142065
m264M_16156,7.0,7.0,9.0,13.0,8.0,25.0,3.0,1.0,3.0,5.0,5.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,51.0,3.0,1.0,9.0,2.0,3.0,754.7094703980375,475.1373798639759
m264M_16160,9.0,0.0,0.0,12.0,0.0,2.0,12.0,2.0,0.0,6.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,4.0,12.0,1.0,1.0,2.0,0.0,10.0,1.0,0.0,925.0024186704384,1039.400146157473
m264M_16161,6.0,0.0,0.0,4.0,6.0,0.0,3.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,43.0,1.0,0.0,0.0,1.0,0.0,762.2914310569812,1071.2899782514137
m264M_16171,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,471.6235978229734,299.42455456889144
m264M_16172,3.0,0.0,6.0,7.0,12.0,23.0,8.0,3.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,55.0,0.0,0.0,4.0,0.0,1.0,654.1463271400132,320.25187790311884
m264M_16173,9.0,0.0,0.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,226.14762913057427,1003.1625986525504
m264M_16176,0.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,984.7992287550584,682.6972673173052
m264M_16199,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,185.40196257197692,938.598104606526
m264M_16202,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,1.0,0.0,829.1912994683992,844.541523922032
m264M_16206,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,925.1732683790968,177.71496309418362
m264M_16214,1.0,2.0,0.0,5.0,2.0,1.0,2.0,3.0,3.0,5.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,231.2204483627204,429.7676876574308
m264M_16227,0.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,338.2010149672592,500.348325537886
