,Npy1r,Drd1,Sema3c,Drd2,Htr2c,Htr1b,Vdr,Gpx3,Dlk1,Vgf,Ppp1r1b,Nefm,Cartpt,Prkcd,Tac1,Penk,Gal,Sst,Pdyn,Nts,Tac2,Ebf1,Crym,Gad1,Cyp26b1,Crh,Oprk1,Vipr2,Scn4b,y,x
m264M_4,11.0,16.0,3.0,23.0,34.0,37.0,9.0,20.0,2.0,271.0,15.0,141.0,1.0,0.0,3.0,14.0,2.0,13.0,9.0,3.0,2.0,8.0,211.0,12.0,168.0,0.0,36.0,1.0,7.0,974.77632184483,837.3947596418387
m264M_5,9.0,0.0,2.0,8.0,8.0,16.0,0.0,2.0,10.0,186.0,118.0,0.0,2.0,61.0,2.0,102.0,0.0,2.0,17.0,2.0,1.0,4.0,36.0,119.0,29.0,2.0,7.0,2.0,0.0,718.6791400729692,700.5119761695839
m264M_9,4.0,0.0,12.0,27.0,11.0,11.0,3.0,5.0,11.0,152.0,28.0,3.0,8.0,19.0,0.0,24.0,4.0,5.0,5.0,0.0,9.0,8.0,14.0,133.0,1.0,4.0,11.0,0.0,0.0,352.4914668360595,633.2996125138957
m264M_14,28.0,16.0,3.0,25.0,10.0,45.0,0.0,5.0,1.0,120.0,44.0,154.0,2.0,6.0,2.0,15.0,4.0,8.0,7.0,1.0,0.0,10.0,104.0,9.0,86.0,1.0,21.0,2.0,6.0,679.8071604079122,1053.2313829929606
m264M_19,26.0,16.0,5.0,24.0,13.0,21.0,6.0,21.0,3.0,247.0,16.0,190.0,1.0,3.0,3.0,19.0,3.0,22.0,4.0,1.0,3.0,22.0,124.0,17.0,101.0,1.0,62.0,6.0,13.0,711.9718436348926,941.0213349798796
m264M_36,27.0,10.0,2.0,32.0,30.0,18.0,9.0,22.0,5.0,167.0,37.0,128.0,2.0,3.0,2.0,21.0,6.0,11.0,10.0,1.0,1.0,27.0,149.0,13.0,112.0,1.0,47.0,3.0,5.0,735.0967566923033,1015.9647952065822
m264M_40,5.0,4.0,0.0,31.0,73.0,59.0,0.0,1.0,1.0,88.0,172.0,4.0,3.0,8.0,3.0,80.0,1.0,388.0,218.0,0.0,4.0,30.0,121.0,133.0,6.0,4.0,7.0,3.0,13.0,515.592142955833,852.103720351863
m264M_41,4.0,0.0,1.0,13.0,60.0,15.0,3.0,18.0,22.0,139.0,54.0,16.0,2.0,2.0,1.0,33.0,0.0,36.0,64.0,253.0,137.0,9.0,32.0,149.0,25.0,19.0,0.0,4.0,0.0,784.6889911851126,399.6941234084232
m264M_46,6.0,1.0,1.0,37.0,67.0,8.0,4.0,59.0,10.0,7.0,5.0,8.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,1.0,7.0,5.0,238.0,7.0,1.0,7.0,0.0,1.0,997.62501605622,494.7050058174712
m264M_52,42.0,31.0,4.0,21.0,40.0,25.0,9.0,29.0,4.0,239.0,69.0,270.0,0.0,4.0,0.0,62.0,3.0,17.0,8.0,3.0,5.0,19.0,91.0,16.0,258.0,0.0,40.0,1.0,5.0,544.6109720235712,1002.7405492305052
m264M_61,4.0,5.0,0.0,8.0,4.0,7.0,2.0,5.0,14.0,140.0,12.0,31.0,1.0,0.0,0.0,141.0,1.0,12.0,14.0,0.0,0.0,9.0,48.0,88.0,1.0,1.0,0.0,0.0,2.0,1057.4225273963102,650.8694673325011
m264M_64,39.0,3.0,15.0,29.0,121.0,9.0,1.0,2.0,2.0,28.0,11.0,16.0,1.0,1.0,6.0,12.0,6.0,5.0,3.0,1.0,0.0,4.0,8.0,217.0,26.0,3.0,6.0,1.0,1.0,535.8030382099316,1072.3037020517395
m264M_70,18.0,32.0,2.0,62.0,51.0,20.0,2.0,18.0,4.0,496.0,18.0,217.0,0.0,1.0,3.0,30.0,6.0,19.0,5.0,3.0,3.0,30.0,91.0,46.0,213.0,1.0,46.0,5.0,11.0,700.8199169566137,1036.714939351416
m264M_72,14.0,4.0,0.0,23.0,42.0,44.0,8.0,11.0,2.0,79.0,153.0,5.0,5.0,4.0,0.0,75.0,2.0,337.0,169.0,3.0,5.0,38.0,111.0,84.0,1.0,2.0,0.0,0.0,11.0,391.5305707022004,820.2028447444552
m264M_75,7.0,2.0,0.0,16.0,83.0,12.0,4.0,6.0,35.0,126.0,111.0,5.0,2.0,14.0,2.0,19.0,1.0,112.0,126.0,62.0,252.0,16.0,65.0,104.0,7.0,23.0,4.0,74.0,0.0,585.4110430038511,646.9879578519467
m264M_76,1.0,1.0,3.0,9.0,8.0,54.0,10.0,27.0,2.0,477.0,29.0,276.0,5.0,1.0,5.0,45.0,2.0,14.0,4.0,1.0,3.0,21.0,165.0,11.0,110.0,1.0,11.0,0.0,7.0,645.2825126135217,956.9332996972756
m264M_79,2.0,9.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,9.0,7.0,3.0,0.0,0.0,0.0,30.0,0.0,1.0,8.0,0.0,0.0,1.0,13.0,29.0,1.0,0.0,0.0,0.0,0.0,1053.974171144018,655.8728947713273
m264M_81,5.0,45.0,0.0,16.0,3.0,16.0,6.0,7.0,6.0,13.0,176.0,51.0,0.0,0.0,7.0,57.0,1.0,3.0,7.0,0.0,1.0,23.0,54.0,14.0,3.0,0.0,3.0,0.0,4.0,183.53596200892216,1030.808918309589
m264M_86,9.0,33.0,2.0,18.0,21.0,13.0,2.0,2.0,3.0,32.0,90.0,32.0,1.0,0.0,0.0,198.0,1.0,9.0,2.0,0.0,1.0,2.0,59.0,62.0,82.0,0.0,1.0,0.0,4.0,266.9698972507637,844.6680955290198
m264M_106,3.0,1.0,0.0,47.0,35.0,21.0,1.0,10.0,2.0,24.0,122.0,11.0,0.0,0.0,0.0,250.0,2.0,6.0,6.0,7.0,2.0,10.0,13.0,44.0,70.0,0.0,0.0,0.0,8.0,166.65062202097238,998.2234330314584
m264M_108,3.0,4.0,0.0,24.0,39.0,62.0,6.0,8.0,36.0,97.0,145.0,3.0,0.0,1.0,26.0,61.0,0.0,399.0,247.0,4.0,2.0,33.0,108.0,147.0,2.0,2.0,5.0,2.0,16.0,375.92384030061066,811.3652202912166
m264M_112,9.0,1.0,0.0,24.0,7.0,14.0,2.0,10.0,5.0,123.0,390.0,1.0,1.0,63.0,1.0,475.0,0.0,8.0,10.0,0.0,5.0,3.0,75.0,121.0,119.0,2.0,5.0,2.0,3.0,433.3217161333112,831.9511109268777
m264M_123,11.0,11.0,2.0,39.0,15.0,4.0,7.0,19.0,4.0,305.0,1.0,19.0,1.0,1.0,7.0,20.0,2.0,515.0,0.0,1.0,0.0,29.0,33.0,252.0,34.0,1.0,9.0,2.0,3.0,1121.5565725113163,707.7033902943962
m264M_143,31.0,9.0,2.0,21.0,42.0,15.0,1.0,6.0,1.0,346.0,42.0,60.0,0.0,0.0,0.0,41.0,0.0,14.0,3.0,2.0,3.0,19.0,174.0,10.0,255.0,0.0,12.0,2.0,5.0,500.0901516982146,1044.0654602407485
m264M_144,6.0,0.0,2.0,36.0,20.0,29.0,2.0,15.0,5.0,145.0,7.0,56.0,2.0,1.0,7.0,3.0,2.0,10.0,1.0,0.0,2.0,13.0,83.0,21.0,63.0,0.0,35.0,1.0,2.0,1022.356153638268,883.5386831970814
m264M_152,5.0,0.0,1.0,15.0,10.0,11.0,5.0,9.0,6.0,179.0,157.0,1.0,17.0,37.0,3.0,318.0,0.0,16.0,23.0,3.0,1.0,7.0,15.0,88.0,2.0,1.0,1.0,1.0,0.0,390.0047047509136,817.1086660896327
m264M_153,5.0,1.0,0.0,33.0,19.0,18.0,10.0,28.0,7.0,216.0,19.0,112.0,4.0,1.0,3.0,2.0,0.0,6.0,4.0,3.0,6.0,21.0,89.0,26.0,163.0,2.0,34.0,7.0,4.0,839.737267613039,1030.8863012618297
m264M_155,1.0,2.0,3.0,5.0,66.0,16.0,2.0,6.0,3.0,205.0,114.0,6.0,1.0,2.0,2.0,7.0,0.0,40.0,134.0,54.0,158.0,7.0,57.0,137.0,4.0,14.0,1.0,28.0,2.0,594.2876958525346,566.2547465437789
m264M_156,3.0,0.0,0.0,32.0,23.0,39.0,8.0,33.0,34.0,44.0,15.0,24.0,0.0,0.0,2.0,122.0,0.0,2.0,6.0,2.0,3.0,6.0,8.0,138.0,64.0,1.0,12.0,0.0,0.0,780.5545801633606,617.1892032672113
m264M_163,6.0,1.0,0.0,53.0,28.0,18.0,1.0,8.0,6.0,34.0,51.0,20.0,0.0,0.0,1.0,161.0,0.0,5.0,0.0,0.0,1.0,5.0,23.0,53.0,40.0,0.0,0.0,0.0,5.0,210.0452426837973,910.9218403521296
m264M_167,1.0,0.0,2.0,38.0,9.0,22.0,2.0,13.0,0.0,175.0,189.0,5.0,2.0,38.0,1.0,370.0,2.0,64.0,24.0,2.0,3.0,11.0,45.0,119.0,10.0,4.0,8.0,1.0,1.0,476.52032146516393,842.5444953893442
m264M_169,8.0,1.0,0.0,23.0,66.0,6.0,1.0,0.0,1.0,12.0,2.0,18.0,0.0,0.0,4.0,6.0,0.0,246.0,2.0,1.0,0.0,7.0,7.0,102.0,2.0,0.0,0.0,0.0,0.0,1125.1279693167628,669.8069108640067
m264M_171,9.0,1.0,0.0,59.0,42.0,19.0,1.0,11.0,3.0,29.0,138.0,30.0,2.0,0.0,3.0,208.0,0.0,7.0,1.0,0.0,1.0,4.0,33.0,56.0,91.0,3.0,11.0,2.0,11.0,264.93343620744514,924.2460844204052
m264M_176,0.0,0.0,1.0,38.0,5.0,13.0,2.0,5.0,134.0,31.0,3.0,11.0,1.0,0.0,1.0,8.0,4.0,5.0,3.0,13.0,1.0,5.0,3.0,80.0,2.0,0.0,11.0,0.0,0.0,1085.5531281881142,458.22964956662383
m264M_177,2.0,8.0,1.0,10.0,70.0,73.0,14.0,12.0,12.0,334.0,316.0,4.0,3.0,7.0,4.0,22.0,2.0,273.0,416.0,13.0,111.0,50.0,189.0,256.0,12.0,4.0,2.0,5.0,7.0,447.87634495472537,760.3588743696796
m264M_187,4.0,6.0,1.0,30.0,58.0,19.0,3.0,11.0,8.0,369.0,194.0,5.0,3.0,3.0,1.0,38.0,0.0,275.0,377.0,106.0,222.0,11.0,109.0,229.0,5.0,92.0,1.0,47.0,1.0,595.7208358452139,641.4705433808555
m264M_189,7.0,21.0,1.0,11.0,1.0,35.0,3.0,8.0,1.0,5.0,49.0,9.0,0.0,0.0,17.0,43.0,1.0,2.0,4.0,2.0,0.0,24.0,67.0,12.0,0.0,9.0,3.0,1.0,6.0,202.04201430775703,948.4545714686492
m264M_197,28.0,17.0,1.0,29.0,24.0,18.0,7.0,15.0,6.0,194.0,9.0,105.0,2.0,4.0,2.0,8.0,0.0,2.0,6.0,2.0,3.0,15.0,148.0,10.0,169.0,0.0,42.0,1.0,9.0,770.5095020381183,909.2432240828468
m264M_203,3.0,3.0,0.0,15.0,53.0,14.0,5.0,13.0,6.0,320.0,181.0,16.0,0.0,2.0,2.0,214.0,0.0,365.0,259.0,65.0,122.0,10.0,63.0,148.0,8.0,15.0,1.0,26.0,0.0,647.5407143210488,636.950952263171
m264M_205,11.0,3.0,1.0,28.0,93.0,12.0,14.0,2.0,1.0,266.0,122.0,13.0,1.0,24.0,0.0,22.0,0.0,37.0,134.0,56.0,251.0,22.0,77.0,143.0,8.0,43.0,3.0,100.0,0.0,439.0807005022469,667.4286888712662
m264M_207,10.0,0.0,0.0,70.0,6.0,31.0,2.0,8.0,12.0,57.0,100.0,111.0,2.0,2.0,2.0,14.0,0.0,2.0,32.0,4.0,6.0,10.0,21.0,95.0,5.0,13.0,2.0,5.0,108.0,869.6305970795024,587.1121308815576
m264M_211,6.0,2.0,3.0,18.0,54.0,25.0,2.0,10.0,2.0,332.0,95.0,3.0,2.0,1.0,1.0,8.0,0.0,2.0,276.0,52.0,20.0,33.0,67.0,137.0,25.0,15.0,1.0,58.0,0.0,595.3689223297106,712.4218273020423
m264M_213,2.0,0.0,1.0,9.0,33.0,19.0,10.0,12.0,36.0,214.0,216.0,4.0,2.0,1.0,1.0,91.0,3.0,499.0,349.0,4.0,27.0,44.0,107.0,211.0,6.0,4.0,0.0,1.0,8.0,461.6412242193325,809.3569883210471
m264M_215,3.0,0.0,3.0,30.0,31.0,14.0,3.0,4.0,15.0,10.0,18.0,13.0,0.0,1.0,2.0,14.0,0.0,12.0,7.0,5.0,4.0,5.0,4.0,106.0,12.0,8.0,8.0,3.0,2.0,678.3275834612035,429.3498983950566
m264M_219,6.0,14.0,26.0,24.0,17.0,23.0,2.0,32.0,3.0,102.0,19.0,2.0,1.0,0.0,1.0,56.0,5.0,96.0,8.0,2.0,0.0,9.0,5.0,255.0,7.0,0.0,1.0,2.0,1.0,324.5276114844228,822.0574856444716
m264M_220,3.0,0.0,2.0,7.0,13.0,7.0,3.0,13.0,18.0,452.0,25.0,4.0,59.0,146.0,20.0,58.0,0.0,1.0,25.0,1.0,6.0,6.0,10.0,152.0,5.0,2.0,3.0,0.0,0.0,521.6840397477546,784.1172921842157
m264M_222,7.0,1.0,2.0,22.0,21.0,32.0,11.0,30.0,4.0,179.0,27.0,50.0,2.0,4.0,7.0,11.0,1.0,6.0,3.0,1.0,2.0,21.0,129.0,11.0,6.0,0.0,21.0,2.0,2.0,642.8718586444588,1010.2462006799536
m264M_231,3.0,2.0,0.0,26.0,5.0,27.0,9.0,20.0,1.0,183.0,355.0,1.0,0.0,32.0,2.0,571.0,1.0,9.0,11.0,3.0,1.0,14.0,117.0,199.0,75.0,1.0,6.0,3.0,7.0,471.9315551926361,923.811518818202
m264M_234,4.0,1.0,0.0,85.0,41.0,17.0,5.0,10.0,4.0,196.0,158.0,26.0,1.0,0.0,0.0,322.0,0.0,7.0,1.0,2.0,1.0,12.0,22.0,51.0,34.0,0.0,2.0,0.0,12.0,155.29912443618997,1030.1686879808972
m264M_236,13.0,11.0,4.0,25.0,14.0,15.0,0.0,4.0,4.0,420.0,22.0,75.0,4.0,0.0,7.0,13.0,2.0,12.0,2.0,3.0,4.0,12.0,135.0,17.0,252.0,2.0,46.0,1.0,3.0,1033.9512021614005,869.4459513684952
m264M_247,23.0,19.0,0.0,22.0,30.0,32.0,4.0,14.0,3.0,384.0,22.0,169.0,2.0,0.0,5.0,13.0,3.0,7.0,0.0,1.0,1.0,16.0,100.0,23.0,105.0,3.0,77.0,2.0,6.0,653.4296751273381,1051.8706274879082
m264M_248,17.0,14.0,6.0,22.0,38.0,19.0,0.0,10.0,3.0,135.0,46.0,84.0,0.0,0.0,0.0,16.0,1.0,4.0,2.0,2.0,3.0,13.0,102.0,11.0,224.0,0.0,22.0,2.0,4.0,573.7146037735849,1065.9782551886792
m264M_249,0.0,0.0,1.0,16.0,8.0,7.0,5.0,15.0,2.0,231.0,178.0,2.0,100.0,152.0,3.0,291.0,0.0,11.0,27.0,5.0,2.0,13.0,45.0,139.0,2.0,1.0,4.0,1.0,0.0,719.6244616219149,773.4799254136154
m264M_258,11.0,7.0,3.0,21.0,18.0,11.0,4.0,18.0,9.0,102.0,22.0,61.0,6.0,4.0,3.0,14.0,3.0,17.0,2.0,1.0,1.0,17.0,50.0,20.0,96.0,1.0,28.0,5.0,10.0,916.9552819542032,1031.2754217481522
m264M_259,9.0,7.0,1.0,59.0,30.0,25.0,4.0,39.0,6.0,81.0,69.0,15.0,0.0,0.0,0.0,301.0,3.0,4.0,3.0,2.0,3.0,18.0,26.0,15.0,79.0,0.0,0.0,1.0,14.0,197.9733567493623,960.7431389802936
m264M_269,4.0,4.0,3.0,17.0,91.0,43.0,5.0,10.0,4.0,46.0,69.0,17.0,1.0,0.0,1.0,12.0,0.0,18.0,88.0,4.0,38.0,9.0,42.0,119.0,2.0,8.0,8.0,18.0,1.0,774.7478632558575,429.5886928868728
m264M_284,6.0,0.0,8.0,32.0,8.0,14.0,1.0,11.0,6.0,133.0,39.0,1.0,74.0,77.0,2.0,19.0,0.0,1.0,22.0,4.0,8.0,6.0,17.0,188.0,10.0,3.0,4.0,2.0,0.0,552.6541398363175,690.4763582734413
m264M_287,1.0,0.0,0.0,14.0,19.0,3.0,2.0,13.0,9.0,125.0,111.0,1.0,5.0,17.0,1.0,19.0,0.0,0.0,11.0,3.0,8.0,0.0,14.0,155.0,100.0,4.0,9.0,3.0,0.0,442.7350507786053,664.4144854434667
m264M_290,3.0,26.0,2.0,10.0,24.0,19.0,2.0,5.0,2.0,8.0,155.0,124.0,0.0,0.0,79.0,10.0,0.0,0.0,17.0,1.0,0.0,1.0,30.0,52.0,6.0,2.0,9.0,0.0,14.0,167.88430627326778,691.004551869756
m264M_291,11.0,1.0,2.0,21.0,16.0,9.0,0.0,2.0,3.0,148.0,183.0,4.0,26.0,164.0,1.0,149.0,0.0,1.0,4.0,3.0,0.0,10.0,7.0,170.0,29.0,2.0,3.0,3.0,3.0,685.2799275443513,863.644150140056
m264M_293,0.0,0.0,2.0,23.0,7.0,16.0,5.0,16.0,178.0,29.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0,3.0,135.0,6.0,2.0,15.0,0.0,0.0,1028.5422420382167,389.2291210191083
m264M_296,11.0,1.0,1.0,30.0,36.0,18.0,3.0,11.0,4.0,210.0,20.0,91.0,4.0,2.0,9.0,4.0,8.0,10.0,2.0,1.0,0.0,31.0,86.0,9.0,140.0,3.0,47.0,9.0,17.0,1057.3779481338706,1021.496228608142
m264M_301,0.0,0.0,1.0,12.0,14.0,8.0,3.0,5.0,78.0,176.0,11.0,0.0,1.0,11.0,1.0,109.0,1.0,7.0,19.0,3.0,9.0,3.0,3.0,155.0,30.0,10.0,13.0,3.0,0.0,563.8308909022272,619.603358500063
m264M_303,2.0,0.0,1.0,14.0,4.0,5.0,5.0,11.0,3.0,203.0,100.0,2.0,53.0,35.0,13.0,100.0,1.0,23.0,19.0,1.0,7.0,11.0,7.0,115.0,8.0,2.0,0.0,0.0,0.0,454.7315466239335,821.7896314262204
m264M_307,22.0,12.0,6.0,7.0,3.0,21.0,5.0,17.0,3.0,117.0,30.0,65.0,0.0,0.0,0.0,25.0,5.0,5.0,5.0,3.0,4.0,19.0,139.0,11.0,67.0,0.0,8.0,0.0,3.0,666.6280843549256,988.3098646123924
m264M_310,8.0,7.0,2.0,27.0,16.0,14.0,8.0,14.0,1.0,246.0,6.0,69.0,0.0,0.0,1.0,11.0,2.0,11.0,3.0,2.0,1.0,7.0,46.0,21.0,86.0,1.0,2.0,0.0,1.0,985.3174881625172,848.934040018329
m264M_318,12.0,7.0,4.0,26.0,15.0,18.0,1.0,8.0,5.0,153.0,19.0,55.0,0.0,0.0,3.0,5.0,5.0,8.0,6.0,0.0,2.0,8.0,59.0,16.0,140.0,1.0,22.0,0.0,2.0,662.7386965299204,1073.9194027349256
m264M_337,12.0,31.0,1.0,55.0,36.0,32.0,7.0,5.0,3.0,72.0,149.0,28.0,2.0,1.0,3.0,349.0,0.0,19.0,18.0,1.0,2.0,20.0,70.0,60.0,48.0,2.0,4.0,1.0,4.0,315.35884112149535,972.9751962616824
m264M_339,5.0,2.0,2.0,10.0,12.0,6.0,7.0,14.0,2.0,124.0,166.0,2.0,14.0,42.0,0.0,196.0,0.0,21.0,40.0,1.0,4.0,15.0,34.0,78.0,3.0,1.0,1.0,1.0,2.0,373.33739248015365,817.1192925063248
m264M_346,22.0,0.0,4.0,20.0,13.0,22.0,3.0,4.0,0.0,116.0,52.0,1.0,45.0,30.0,0.0,25.0,0.0,4.0,15.0,0.0,2.0,3.0,28.0,110.0,8.0,1.0,5.0,0.0,3.0,417.557110707804,868.7402214156081
m264M_348,8.0,38.0,0.0,26.0,21.0,16.0,3.0,9.0,77.0,27.0,86.0,6.0,10.0,0.0,1.0,59.0,0.0,4.0,3.0,2.0,3.0,3.0,51.0,42.0,27.0,0.0,0.0,0.0,0.0,273.6727221584386,615.8082319173362
m264M_358,17.0,2.0,0.0,77.0,18.0,33.0,0.0,6.0,7.0,28.0,43.0,32.0,0.0,1.0,1.0,4.0,0.0,10.0,13.0,2.0,20.0,12.0,21.0,176.0,7.0,1.0,3.0,1.0,73.0,895.8489807035362,453.7646237651186
m264M_363,3.0,0.0,0.0,17.0,52.0,28.0,10.0,20.0,4.0,117.0,188.0,3.0,1.0,2.0,1.0,73.0,1.0,411.0,290.0,11.0,1.0,42.0,101.0,144.0,3.0,0.0,0.0,0.0,6.0,378.3230834330655,799.8331595144472
m264M_367,21.0,0.0,3.0,14.0,24.0,19.0,13.0,39.0,6.0,127.0,19.0,96.0,0.0,0.0,1.0,14.0,8.0,10.0,5.0,0.0,4.0,27.0,153.0,8.0,213.0,0.0,18.0,1.0,5.0,642.2788240600272,1021.3298577227436
m264M_372,5.0,3.0,0.0,17.0,17.0,16.0,15.0,17.0,4.0,109.0,4.0,47.0,2.0,7.0,8.0,12.0,4.0,5.0,6.0,0.0,3.0,34.0,115.0,14.0,78.0,2.0,23.0,0.0,2.0,768.586976484544,983.2547023934128
m264M_373,16.0,13.0,4.0,31.0,11.0,27.0,7.0,16.0,4.0,90.0,28.0,57.0,3.0,3.0,4.0,18.0,2.0,10.0,6.0,4.0,2.0,12.0,70.0,9.0,65.0,1.0,20.0,3.0,5.0,738.2044203174976,1036.1878147832977
m264M_378,1.0,0.0,0.0,35.0,31.0,22.0,0.0,3.0,1.0,12.0,94.0,8.0,0.0,0.0,0.0,264.0,0.0,6.0,2.0,1.0,0.0,2.0,16.0,30.0,47.0,0.0,1.0,0.0,6.0,107.70005495610214,1046.4339025534482
m264M_383,18.0,12.0,6.0,25.0,50.0,36.0,2.0,11.0,4.0,112.0,11.0,76.0,0.0,2.0,4.0,8.0,1.0,9.0,2.0,9.0,2.0,18.0,109.0,22.0,109.0,1.0,55.0,2.0,5.0,962.4212323249636,829.4878550004285
m264M_390,25.0,4.0,4.0,36.0,4.0,168.0,10.0,42.0,326.0,15.0,6.0,117.0,3.0,0.0,0.0,158.0,0.0,0.0,19.0,3.0,21.0,43.0,8.0,203.0,12.0,9.0,8.0,2.0,0.0,720.0232292319165,361.0620748695004
m264M_395,1.0,1.0,0.0,16.0,7.0,24.0,2.0,12.0,3.0,193.0,147.0,1.0,2.0,52.0,1.0,34.0,0.0,1.0,13.0,3.0,17.0,1.0,21.0,160.0,93.0,18.0,0.0,1.0,0.0,410.043200408998,582.4727893660531
m264M_396,8.0,1.0,0.0,44.0,21.0,28.0,3.0,7.0,2.0,13.0,64.0,16.0,0.0,0.0,1.0,147.0,0.0,2.0,1.0,0.0,0.0,6.0,26.0,44.0,51.0,1.0,5.0,0.0,12.0,247.6076453655729,906.3131329879104
m264M_398,4.0,1.0,3.0,20.0,8.0,8.0,4.0,9.0,1.0,549.0,283.0,4.0,244.0,78.0,2.0,334.0,1.0,28.0,53.0,18.0,9.0,13.0,69.0,148.0,14.0,2.0,2.0,2.0,1.0,530.7973463114755,812.5538268442623
m264M_401,13.0,6.0,3.0,23.0,21.0,9.0,2.0,10.0,1.0,186.0,20.0,107.0,4.0,5.0,2.0,31.0,2.0,5.0,5.0,3.0,3.0,8.0,164.0,16.0,145.0,2.0,24.0,1.0,3.0,541.2120629401801,1042.790821966658
m264M_403,5.0,2.0,0.0,16.0,45.0,43.0,7.0,17.0,16.0,65.0,120.0,2.0,0.0,3.0,0.0,18.0,0.0,67.0,181.0,6.0,5.0,21.0,86.0,99.0,4.0,0.0,1.0,1.0,5.0,597.9562005411752,740.2061806300097
m264M_405,16.0,9.0,3.0,17.0,7.0,12.0,8.0,21.0,9.0,363.0,12.0,125.0,3.0,7.0,4.0,6.0,3.0,9.0,4.0,4.0,2.0,30.0,69.0,11.0,142.0,1.0,36.0,2.0,7.0,897.1580567336263,947.1950336490846
m264M_408,8.0,1.0,1.0,21.0,9.0,9.0,9.0,19.0,0.0,71.0,13.0,88.0,0.0,7.0,7.0,8.0,3.0,1.0,5.0,0.0,2.0,26.0,61.0,17.0,113.0,0.0,24.0,2.0,12.0,854.8539281896498,1007.8991070867132
m264M_415,8.0,37.0,33.0,21.0,4.0,88.0,8.0,20.0,151.0,70.0,23.0,71.0,1.0,0.0,18.0,14.0,0.0,25.0,18.0,3.0,5.0,16.0,10.0,179.0,1.0,3.0,1.0,0.0,3.0,576.0562423617757,430.5094552013546
m264M_436,3.0,8.0,1.0,12.0,70.0,57.0,7.0,14.0,20.0,104.0,257.0,7.0,6.0,4.0,3.0,150.0,0.0,505.0,243.0,2.0,31.0,43.0,106.0,168.0,4.0,1.0,1.0,1.0,21.0,450.6858232895334,808.0702655188037
m264M_447,16.0,7.0,2.0,35.0,25.0,26.0,4.0,15.0,12.0,97.0,17.0,72.0,0.0,2.0,4.0,15.0,6.0,7.0,5.0,3.0,1.0,15.0,82.0,14.0,99.0,0.0,5.0,2.0,1.0,749.9125773461949,1045.0734167822693
m264M_449,3.0,17.0,0.0,12.0,187.0,18.0,7.0,28.0,8.0,536.0,10.0,93.0,1.0,3.0,2.0,20.0,0.0,237.0,8.0,4.0,5.0,16.0,58.0,479.0,103.0,2.0,6.0,0.0,3.0,590.3626857873381,969.2169062308932
m264M_450,10.0,2.0,2.0,10.0,3.0,7.0,5.0,11.0,6.0,176.0,183.0,4.0,10.0,134.0,2.0,173.0,2.0,8.0,16.0,3.0,5.0,8.0,48.0,44.0,36.0,1.0,0.0,5.0,1.0,725.3395600718251,804.8807761998042
m264M_452,13.0,10.0,4.0,36.0,38.0,17.0,7.0,8.0,0.0,17.0,116.0,28.0,1.0,1.0,3.0,112.0,0.0,4.0,3.0,0.0,1.0,2.0,13.0,52.0,65.0,2.0,9.0,5.0,5.0,237.08815758980305,863.7362166859791
m264M_456,8.0,0.0,2.0,28.0,17.0,25.0,6.0,4.0,7.0,26.0,31.0,14.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,37.0,56.0,74.0,0.0,4.0,1.0,1.0,242.3448219574804,717.1396972289871
m264M_458,11.0,8.0,1.0,20.0,28.0,13.0,7.0,16.0,0.0,105.0,30.0,106.0,1.0,1.0,0.0,16.0,0.0,4.0,4.0,2.0,1.0,6.0,141.0,15.0,106.0,0.0,23.0,0.0,4.0,616.0274395912919,1033.4642813089704
m264M_462,6.0,62.0,3.0,9.0,23.0,20.0,2.0,26.0,4.0,1.0,79.0,109.0,0.0,0.0,65.0,0.0,0.0,0.0,20.0,1.0,2.0,6.0,42.0,68.0,4.0,1.0,6.0,1.0,16.0,181.89188682227729,722.4038842931662
m264M_466,8.0,0.0,8.0,15.0,43.0,16.0,0.0,3.0,12.0,247.0,152.0,9.0,1.0,23.0,7.0,13.0,0.0,144.0,265.0,46.0,133.0,4.0,66.0,163.0,2.0,34.0,6.0,69.0,7.0,665.1780429484528,670.462215477997
m264M_473,6.0,35.0,2.0,4.0,1.0,8.0,3.0,12.0,0.0,14.0,48.0,0.0,0.0,0.0,0.0,84.0,1.0,2.0,16.0,0.0,14.0,4.0,26.0,47.0,2.0,0.0,0.0,2.0,2.0,374.7226015127389,1026.6871755573247
m264M_475,8.0,0.0,6.0,16.0,12.0,18.0,4.0,4.0,125.0,14.0,5.0,1.0,2.0,0.0,2.0,27.0,0.0,0.0,6.0,2.0,0.0,1.0,5.0,111.0,93.0,1.0,29.0,0.0,0.0,773.8834657813002,700.1959194602119
m264M_478,6.0,0.0,5.0,11.0,8.0,9.0,1.0,10.0,1.0,109.0,21.0,1.0,33.0,19.0,2.0,2.0,0.0,1.0,35.0,2.0,1.0,5.0,11.0,188.0,44.0,1.0,14.0,0.0,0.0,711.1437834752832,716.9973228553868
m264M_483,17.0,8.0,4.0,42.0,30.0,29.0,1.0,10.0,3.0,539.0,7.0,76.0,2.0,2.0,4.0,16.0,2.0,12.0,6.0,1.0,4.0,8.0,10.0,29.0,173.0,2.0,33.0,1.0,4.0,982.7646441879488,866.8508594625708
